13:23; lunes; abril 20; 2026
Nombre de estudio:An·lisis est·tico 1
Unidades: 
Referencia seleccionada: Todos
Elemento  ;X (mm)  ;Y (mm)  ;Z (mm)  ;EPSZ
4218  ;-0,153892  ;1,96141  ;0,759285  ;1,82565e-07
3002  ;-0,187809  ;3,96747  ;0,707116  ;1,78775e-07
3831  ;-9,85336  ;8,89287  ;0,77328  ;1,78591e-07
3593  ;-9,85336  ;9,27205  ;0,805928  ;1,78015e-07
7581  ;-0,200311  ;2,97003  ;0,716394  ;1,75448e-07
5352  ;-9,79631  ;6,0182  ;0,693413  ;1,74579e-07
175  ;-9,823  ;0,458811  ;0,433339  ;1,74036e-07
4433  ;-9,823  ;0,679414  ;0,780855  ;1,73726e-07
